Date,Hour,Temperature
3/2/22,5,22.3
3/2/22,6,22
3/2/22,7,21.9
3/2/22,8,21.7
3/2/22,9,21.2
3/2/22,10,21.6
3/2/22,11,22.8
3/2/22,12,24.3
3/2/22,13,26.1
3/2/22,14,27.6
3/2/22,15,30.3
3/2/22,16,31
3/2/22,17,31.7
3/2/22,18,31.5
3/2/22,19,31.9
3/2/22,20,31.1
3/2/22,21,30.2
3/2/22,22,28.4
3/2/22,23,28.3
4/2/22,0,26.8
4/2/22,1,26
4/2/22,2,26
4/2/22,3,25.6
4/2/22,4,24.9
4/2/22,5,24.3
4/2/22,6,23.1
4/2/22,7,21.1
4/2/22,8,20.4
4/2/22,9,20.5
4/2/22,10,20.9
4/2/22,11,21.4
4/2/22,12,22.2
4/2/22,13,22.7
4/2/22,14,22.2
4/2/22,15,21.9
4/2/22,16,21.7
4/2/22,17,21.8
4/2/22,18,22
4/2/22,19,22.4
4/2/22,20,23.2
4/2/22,21,23.3
4/2/22,22,22.5
4/2/22,23,21.5
5/2/22,0,21.1
5/2/22,1,21.1
5/2/22,2,20.8
5/2/22,3,20.9
5/2/22,4,20.2
5/2/22,5,20.4
5/2/22,6,20.5
5/2/22,7,20.5
5/2/22,8,20.6
5/2/22,9,20.9
5/2/22,10,21.6
5/2/22,11,22.2
5/2/22,12,23.1
5/2/22,13,24
5/2/22,14,25.9
5/2/22,15,23.9
5/2/22,16,22.1
5/2/22,17,22.8
5/2/22,18,23.5
5/2/22,19,23.4
5/2/22,20,23.4
5/2/22,21,20
5/2/22,22,20.2
5/2/22,23,20.1
6/2/22,0,20.1
6/2/22,1,19.8
6/2/22,2,19.7
6/2/22,3,19.5
6/2/22,4,19.1
6/2/22,5,19
6/2/22,6,19
6/2/22,7,18.8
6/2/22,8,18.8
6/2/22,9,18.9
6/2/22,10,19.1
6/2/22,11,18.1
6/2/22,12,18.5
6/2/22,13,20
6/2/22,14,21.5
6/2/22,15,22.8
6/2/22,16,23.9
6/2/22,17,25.4
6/2/22,18,23
6/2/22,19,23.6
6/2/22,20,23
6/2/22,21,21.8
6/2/22,22,20.2
6/2/22,23,19.4
7/2/22,0,19.2
7/2/22,1,17.9
7/2/22,2,16.5
7/2/22,3,16.2
7/2/22,4,16.4
7/2/22,5,16.4
7/2/22,6,15.9
7/2/22,7,14.5
7/2/22,8,14.3
7/2/22,9,13.9
7/2/22,10,14.3
7/2/22,11,15.4
7/2/22,12,16.9
7/2/22,13,18.1
7/2/22,14,19.3
7/2/22,15,20.1
7/2/22,16,21.2
7/2/22,17,22.6
7/2/22,18,22.8
7/2/22,19,23.1
7/2/22,20,22.2
7/2/22,21,21.1
7/2/22,22,19.8
7/2/22,23,18.9
8/2/22,0,17.6
8/2/22,1,17.9
8/2/22,2,18.3
8/2/22,3,18.1
8/2/22,4,17.6
8/2/22,5,17
8/2/22,6,16.3
8/2/22,7,15.9
8/2/22,8,15
8/2/22,9,14.8
8/2/22,10,15.4
8/2/22,11,17.3
8/2/22,12,19.5
8/2/22,13,19.5
8/2/22,14,20.6
8/2/22,15,23.4
8/2/22,16,22.3
8/2/22,17,22.8
8/2/22,18,23
8/2/22,19,23.8
8/2/22,20,22.5
8/2/22,21,21.8
8/2/22,22,21.2
8/2/22,23,19
9/2/22,0,18.1
9/2/22,1,17.5
9/2/22,2,17.2
9/2/22,3,16.7
9/2/22,4,16
9/2/22,5,15.7
9/2/22,6,15.7
9/2/22,7,15.3
9/2/22,8,14.9
9/2/22,9,14.8
9/2/22,10,16.5
9/2/22,11,18.4
9/2/22,12,20.8
9/2/22,13,20.8
9/2/22,14,23
9/2/22,15,24.7
9/2/22,16,25
9/2/22,17,26.5
9/2/22,18,25
9/2/22,19,25.2
9/2/22,20,24.5
9/2/22,21,23.2
9/2/22,22,21.7
9/2/22,23,20.1
10/2/22,0,19
10/2/22,1,18.4
10/2/22,2,18.1
10/2/22,3,17.7
10/2/22,4,17.6
10/2/22,5,17.5
10/2/22,6,17.5
10/2/22,7,17.2
10/2/22,8,17.9
10/2/22,9,17.8
10/2/22,10,18.4
10/2/22,11,19.8
10/2/22,12,21.4
10/2/22,13,24.2
10/2/22,14,25.9
10/2/22,15,27.1
10/2/22,16,29
10/2/22,17,30.7
10/2/22,18,30.4
10/2/22,19,27.6
10/2/22,20,27.7
10/2/22,21,27
10/2/22,22,23.7
10/2/22,23,22.4
11/2/22,0,21.7
11/2/22,1,21.4
11/2/22,2,21.3
11/2/22,3,20.8
11/2/22,4,20.4
11/2/22,5,19.9
11/2/22,6,19.8
11/2/22,7,19.5
11/2/22,8,19.3
11/2/22,9,19.2
11/2/22,10,19.6
11/2/22,11,21.1
11/2/22,12,22.4
11/2/22,13,24.5
11/2/22,14,26.8
11/2/22,15,28.3
11/2/22,16,30.2
11/2/22,17,30.6
11/2/22,18,29.3
11/2/22,19,26.2
11/2/22,20,19.3
11/2/22,21,20.9
11/2/22,22,19.2
11/2/22,23,20.5
12/2/22,0,21.7
12/2/22,1,22.4
12/2/22,2,22.1
12/2/22,3,21.6
12/2/22,4,20.7
12/2/22,5,20.5
12/2/22,6,20
12/2/22,7,19.5
12/2/22,8,19
12/2/22,9,18.8
12/2/22,10,19.2
12/2/22,11,20.5
12/2/22,12,22
12/2/22,13,24.3
12/2/22,14,26.5
12/2/22,15,28.4
12/2/22,16,30.3
12/2/22,17,31
12/2/22,18,31.3
12/2/22,19,30.8
12/2/22,20,27.6
12/2/22,21,26.7
12/2/22,22,19.2
12/2/22,23,19.5
13/02/2022,0,19.1
13/02/2022,1,19.5
13/02/2022,2,19.4
13/02/2022,3,19.6
13/02/2022,4,20.2
13/02/2022,5,19.9
13/02/2022,6,19.2
13/02/2022,7,19.3
13/02/2022,8,18.8
13/02/2022,9,19
13/02/2022,10,19.7
13/02/2022,11,20
13/02/2022,12,19.8
13/02/2022,13,21.3
13/02/2022,14,21.9
13/02/2022,15,24.2
13/02/2022,16,24.4
13/02/2022,17,25.4
13/02/2022,18,22.6
13/02/2022,19,19.8
13/02/2022,20,19.5
13/02/2022,21,19.8
13/02/2022,22,19.2
13/02/2022,23,18.9
14/02/2022,0,18.2
14/02/2022,1,17.5
14/02/2022,2,16.7
14/02/2022,3,16.1
14/02/2022,4,15.7
14/02/2022,5,15.1
14/02/2022,6,14.3
14/02/2022,7,14.1
14/02/2022,8,14.1
14/02/2022,9,14.1
14/02/2022,10,14.1
14/02/2022,11,14.9
14/02/2022,12,16.5
14/02/2022,13,18.6
14/02/2022,14,20.8
14/02/2022,15,21.7
14/02/2022,16,22.6
14/02/2022,17,24.1
14/02/2022,18,24.3
14/02/2022,19,24.4
14/02/2022,20,23.9
14/02/2022,21,23.4
14/02/2022,22,21.4
14/02/2022,23,20
15/02/2022,0,18.7
15/02/2022,1,18.7
15/02/2022,2,18.9
15/02/2022,3,19.8
15/02/2022,4,19.7
15/02/2022,5,19.6
15/02/2022,6,18.4
15/02/2022,7,16.3
15/02/2022,8,15.5
15/02/2022,9,15.1
15/02/2022,10,15.7
15/02/2022,11,18.2
15/02/2022,12,20.2
15/02/2022,13,22.6
15/02/2022,14,24.7
15/02/2022,15,26.5
15/02/2022,16,26.8
15/02/2022,17,28.3
15/02/2022,18,28.4
15/02/2022,19,28.7
15/02/2022,20,27.9
15/02/2022,21,26.5
15/02/2022,22,24.6
15/02/2022,23,22.4
16/02/2022,0,21.3
16/02/2022,1,20.6
16/02/2022,2,20.1
16/02/2022,3,19.3
16/02/2022,4,18.5
16/02/2022,5,18.1
16/02/2022,6,17.5
16/02/2022,7,17.2
16/02/2022,8,16.9
16/02/2022,9,16.7
16/02/2022,10,17.5
16/02/2022,11,19.2
16/02/2022,12,21.2
16/02/2022,13,23.2
16/02/2022,14,25.7
16/02/2022,15,27.6
16/02/2022,16,29.3
16/02/2022,17,30.2
16/02/2022,18,31.6
16/02/2022,19,30.1
16/02/2022,20,29.1
16/02/2022,21,28.2
16/02/2022,22,26.3
16/02/2022,23,24.5
17/02/2022,0,23.6
17/02/2022,1,23
17/02/2022,2,21.6
17/02/2022,3,20.6
17/02/2022,4,20.1
17/02/2022,5,19.8
